id,service_id,taxonomy_id,taxonomy_detail
23006,7517,LJ-2000.6750,
21914,8071,TD-1100.1400,
21915,8071,ND-6500,
21921,8073,TD-1100.1400,
21923,8074,TD-1100.1400,
21924,8074,PL-7400.1500,
22476,8196,RF-2500,
22477,8196,RP-1400.8000-070,
22478,8196,RP-1400.8000-800,
22479,8196,RP-1400.8000-175,
22480,8196,RP-5000.5000-050,
21930,8076,TD-1100.1400,
21932,8077,TD-1100.1400,
21933,8077,ND-6500,
21934,8078,TD-1100.1400,
21935,8078,PH-2360.2400,
21936,8079,TD-1100.1400,
21937,8079,BD-1800.2000-640,
21938,8079,BV-8900.9300,
21940,8079,BH-3800.7000,
21941,8080,TD-1100.1400,
21942,8080,PL-7400.1500,
21943,6682,TD-1100.1400,
21944,6684,PH-1000,
21945,8078,PH-2400.1300,
21946,6670,PH-1000,
21947,6689,PH-1250.1800,
22483,8196,LF-4900.1200,
22577,2227,TJ-3000.1500,
22586,7756,RX-8450.8000-050,
22587,7756,RX-8450.8000-180,
22614,8237,LJ-2000.6500-700,
22615,8237,LJ-2000.6750,
22616,8237,LJ-5000.6600,
22617,8237,PH-6100.1800-250,
22618,8237,PH-6100.6800,
22675,2484,RX-8450.8000-050,
22676,2484,RX-8450.8000-180,
22319,8158,PH-1000,
22324,2924,TJ-3000.8000,
22325,2923,TJ-3000.8000,
22327,789,LE,
22328,791,PH-2360.8000,
22329,791,RP-5000.6500,
22330,791,RP-6400.1500,
22335,7646,HL-8120.7800-200,
22336,7647,LH-2700.2900,
22337,7648,LH-2700.2900,
22340,7658,HL-8120.7800-200,
22342,7648,HL-8120.7800-200,
22343,4237,HL-8120.7800-200,
22344,8162,BH-1800.8500,
22346,8163,TJ-6500.6300,
22347,4059,HL-8120.7800-200,
22349,8164,PH-1250.1800,
22350,8164,PL-6400.1500-820,
22351,8165,HD-1800.8000,
22352,8165,HD-1800.6500-150,
22353,8165,PH-1250.1400,
22355,1323,LT-3400.1500,
22356,6866,LT-3400.1500,
22358,7021,LT-3400.1500,
22359,7063,LT-3400.1500,
22360,1322,LT-3400.1500,
22361,1316,LT-3400.1500,
22362,1316,LV-6000.2550,
22363,1317,LT-3400.1500,
22364,102,LT-3400.1500,
22365,743,LT-3400.1500,
22366,742,LT-3400.1500,
22367,741,LT-3400.1500,
22368,8166,LH-3500.0200-330,
22369,8166,LN-1500,
22370,8166,LT-3400.1500,
22371,8166,LV-1600,
22372,8166,LV-6800,
22373,8166,LV-6000.2550,
22375,8167,LN-1500,
22376,8167,LT-3400.1500,
22377,8167,LV-6000.2550,
22378,8167,LV-6800,
22379,8167,LE,
22380,107,LT-3400.1500,
22381,8005,LT-3400.1500,
22484,8196,RP-1400.8000-050,
22385,8008,LT-3400.1500,
22485,8196,RP-1400.8000-155,
22486,8196,RP-8000.1500,
22487,8196,RP-5000.5000-180,
22488,8196,RF-2000,
22489,8197,BD-1800.2000-640,
22490,8198,BD-1800.2000-640,
22552,8221,LR-0450.0500,
22493,8199,LH-6700.6400-285,
22494,8199,LH-6700.6400-300,
22495,8199,LT-1750.0500,
22496,8199,LF-4900.2400,
22497,8199,LV-3300.3150,
22505,4059,JP-1500.1700-980,
22506,99,LT-3400.1500,
22553,8221,LR-8000.8000-820,
22509,8202,FT-3000.1750,
22554,8221,LR-8000.8000-450,
22511,8203,RX-0400.1500-150,
22512,8203,RX-0400.1500-180,
22513,8204,BD-1800.2000-640,
22514,6999,JP-1500.1700-980,
22516,5726,BD-5000.1500,
22555,8221,LR-6200,
22518,8206,RP-5000.1500,
22519,8206,RF-2500,
22520,8206,RF-2000,
22525,6042,PX,
22526,8209,TJ-4500.1500-450,
22527,8210,DD-1500.8000,
22528,8211,DD-1500.8000,
22529,8212,DD-1500.8000,
22530,8213,DD-1500.8000,
22531,8214,DD-1500.8000,
22532,8215,DD-1500.8000,
22533,7000,JP-1500.1700-980,
22534,8216,BD-1800.2000-640,
22556,8221,LR-6600,
22537,8218,JP-6500.6650,
22538,8219,HH-0500.2500-250,
22539,8219,HH-9000.8750,
22540,8219,HL-2500.1500,
22541,8219,ND-6500.9800-250,
22542,8219,HL-8000.8000,
22543,8219,HL-8000.8200,
22544,8219,ND-2000.3500-330,
22558,8222,TJ-3000.8000,
22559,8224,TJ-3000.8000,
22560,8223,PH-1250.1400,
24096,8654,PH-1400.5000-100,
24097,8654,HL-2500.1500,
22564,8225,HD-0500.1700,
22565,8226,BD-1800.2000-640,
22568,8227,JR-8000.9500,
22569,8227,TH-2100.9500,
22382,105,LT-3400.1500,
22383,8007,LT-3400.1500,
22696,8261,LV-1600,
22697,8261,LE,
22698,8261,LF-5280,
22699,4493,HH-0500.8000-150,
25557,8998,TJ-3000.8000,
17029,7334,NL-6000.2000,
17028,7334,NS-8000,
22703,8263,PH-6200.4600,
