id,service_id,location_id,service_at_location_id,weekday,opens_at,closes_at,original_text
,7684,,,Friday,8:00am,5:00pm,"8:00am-5:00pm, Mon-Fri"
,7686,,,Monday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7686,,,Tuesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7686,,,Wednesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7686,,,Thursday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7686,,,Friday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7690,,,Monday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7690,,,Tuesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7690,,,Wednesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7690,,,Thursday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7690,,,Friday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7691,,,Monday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,7691,,,Tuesday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,7691,,,Wednesday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,7691,,,Thursday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,7691,,,Friday,8:00am,4:30pm,"8:00am-4:30pm, Mon-Fri"
,7693,,,Saturday,6:00pm,8:30pm,"6:00pm-8:30pm, Wed-Fri;\n11:00am-5:00pm, Sat"
,7696,,,Monday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7696,,,Tuesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7696,,,Wednesday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7696,,,Thursday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
,7696,,,Friday,9:00am,5:00pm,"9:00am-5:00pm, Mon-Fri"
