id,service_id,taxonomy_id,taxonomy_detail
14717,7067,LV-6800,
14718,7067,LV-7200,
14719,7068,LH-2700.1700,
14730,2351,PL-6400.1500-820,
14731,2352,PH-1250.1800,
14732,7069,RP-1400.8000-825,
14733,7069,RP-1500.1400-800,
14734,7069,TJ-3000,
14736,1013,PX,
14746,6054,PL-6400.6500,
14747,6054,PL-6400.7000-700,
14748,6054,PL-7000,
14749,6054,PL-7000.8800,
14750,6054,PL-6400.1500-820,
22100,7315,RF-3300,
22101,7315,RP-5000.5000-260,
14759,1296,PL-6400.7000-700,
14765,1865,FF-0500.1800-050,
14766,1867,FF-0500.1800-350,
14767,1867,PX,
14827,0,TP-3350.1800-330,
14775,187,LH-5000.2500,
14780,1251,FT-1000.3300,
14781,1273,LH-2600.6500,
14782,1227,HH-0500,
14787,1220,BD-5000.8200,
14793,889,PH-0320.0200,
14794,889,BT-4500.4700-800,
14795,889,LR-6600,
14796,6521,LT-1750.1700,
14798,883,BH-7000.5100-330,
14799,482,LV-5500,
14800,482,PX,
14801,483,PX,
14802,887,LR-1570,
16785,5762,LJ-5000.8000,
4628,2566,PH-1250.1800,
4649,2583,PH-1250.1800,
4654,2588,PH-1250.1800,
15190,1131,PH-2400.1900,
